primary_category,purpose
vending_machine_supplier,PURCHASE
venezuelan_restaurant,LEISURE
venue_and_event_space,PURCHASE
veterinarian,HEALTH
video_game_store,PURCHASE
videographer,PURCHASE
vietnamese_restaurant,LEISURE
vinyl_record_store,PURCHASE
vitamins_and_supplements,OTHER
vocational_and_technical_school,STUDIES
volleyball_court,LEISURE
waffle_restaurant,LEISURE
warehouses,WORK
watch_store,PURCHASE
water_park,LEISURE
water_supplier,OTHER
water_treatment_equipment_and_services,PURCHASE
waterfall,LEISURE
waxing,PURCHASE
weather_station,OTHER
web_designer,WORK
wedding_chapel,OTHER
wedding_planning,PURCHASE
weight_loss_center,HEALTH
well_drilling,PURCHASE
wheel_and_rim_repair,PURCHASE
whiskey_bar,LEISURE
wholesale_grocer,PURCHASE
wholesale_store,PURCHASE
wholesaler,PURCHASE
wig_store,PURCHASE
wildlife_control,OTHER
wildlife_sanctuary,LEISURE
wills_trusts_and_probate,OTHER
windows_installation,PURCHASE
wine_bar,LEISURE
wine_wholesaler,PURCHASE
winery,LEISURE
womens_clothing_store,PURCHASE
womens_health_clinic,HEALTH
wood_and_pulp,WORK
writing_service,WORK
yoga_studio,LEISURE
youth_organizations,LEISURE
zoo,LEISURE
,OTHER
